"unique_trial_id","subject_id","RT","correctness","mousetrackingDuration","movementDirection","exemplar","traveledDistance","trial_type","MAD","AUC","xpos_flips","ypos_flips","initiation_time","total_dist","prototype_label","z_AUC","z_RT","z_initiation_time"
"491",2091,1436,"Correct",1432,74.14881802,"Rom",17,"Typical",-0.133921083535207,-90,0,0,0,1344.07526445867,"curved",-0.0188698253443169,-0.968953977538579,NA
"492",2091,1772,"Correct",1767,75.53483512,"Moscow",21,"Typical",4.8506897545579,3249,0,0,0,1339.87491017403,"curved",0.506382023895104,-0.686313638171076,NA
"493",2091,1769,"Correct",1764,76.7201879,"Las Vegas",21,"Typical",9.26672722413494,6346,0,0,0,1370.66496286651,"curved",0.993565305444816,-0.6888447456878,NA
"494",2091,2649,"Correct",2646,74.96674187,"Salzburg",31,"Typical",4.77174522734276,3262.5,0,0,0,1368.09605425916,"curved",0.508505683662919,0.0553008642290283,NA
"495",2091,1820,"Correct",1816,73.71905432,"London",22,"Typical",-3.36439828055924,-2310,0,0,0,1373.5052094415,"curved",-0.368093876051569,-0.644972215397919,NA
"496",2091,5102,"Correct",5097,77.70329063,"Dubrovnik",58,"Atypical",16.1245720396235,10780,0,0,0,1343.08345714526,"curved",1.69106955807362,2.12321570539246,NA
"497",2091,3948,"Correct",3944,75.12742037,"Beijing",45,"Atypical",-18.2438082103486,-12427,1,0,0,1367.97279228516,"curved",-1.95958023686475,1.1504267164649,NA
"498",2091,2467,"Correct",2463,75.96521825,"Saigon",29,"Atypical",-0.4799303526101,-324,0,0,0,1350.2040437634,"curved",-0.0556799279864327,-0.0990966942911299,NA
"499",2091,3801,"Correct",3796,73.84759296,"Rio de Janeiro",44,"Atypical",-11.0734531806685,-7581,1,0,0,1373.22529008837,"curved",-1.19726503428487,1.02555874563986,NA
"500",2091,1800,"Correct",1796,74.2789186,"Paris",21,"Typical",2.74187381591292,1824,0,0,0,1330.53578700939,"curved",0.282217937292476,-0.661846265509412,NA
"501",2078,2048,"Correct",1780,59.43428951,"Berlin",127,"Typical",578.795213504487,398480,1,0,104,2055.29289433715,"cCoM",0.237583908710103,-0.17668846207736,-0.713073033839275
"503",2078,2722,"Correct",2408,65.88841059,"Saigon",183,"Atypical",544.808281207058,271586.5,3,2,461,1922.56467189816,"cCoM",-0.433802722160817,0.473931951584902,0.930259010695251
"504",2078,1260,"Correct",698,53.44557349,"London",35,"Typical",107.806475813435,115616,1,0,102,1556.06288882178,"straight",-1.25903418405802,-1.29766184994769,-0.722279375825463
"505",2078,1395,"Correct",1059,54.20655907,"Rom",69,"Typical",75.9823512811636,55977,0,0,552,1556.7723728329,"straight",-1.57458090062357,-0.923658714068589,1.3491475710668
"506",2078,1845,"Correct",1599,67.58984463,"Las Vegas",98,"Typical",874.564905398424,714301.5,3,0,106,2423.19725954266,"dCoM",1.90857834768137,-0.364208039900401,-0.703866691853087
"507",2078,4332,"Correct",4119,62.87368338,"Rio de Janeiro",187,"Atypical",614.850751091739,490508,3,1,555,2052.96231781891,"cCoM",0.724499068791502,2.24656177288447,1.36295708404608
"508",2078,1912,"Correct",1621,62.84270345,"Moscow",160,"Typical",410.759833105122,382384,3,0,101,1724.42371043512,"cCoM",0.152420845113478,-0.341415605026882,-0.726882546818557
"509",2078,2329,"Correct",2071,60.75917064,"Salzburg",154,"Typical",757.121886584623,517017.5,1,2,556,2552.81554394356,"cCoM",0.864759396476313,0.124793290113274,1.36756025503917
